10 10.2109 93.0032
10.1 10.311 93.0282
10.2 10.411 93.0528
10.3 10.511 93.077
10.4 10.611 93.101
10.5 10.7111 93.1246
10.6 10.8111 93.1478
10.7 10.9111 93.1708
10.8 11.0111 93.1935
10.9 11.1111 93.2158
11 11.2111 93.2379
11.1 11.3112 93.2597
11.2 11.4112 93.2813
11.3 11.5112 93.3026
11.4 11.6112 93.3236
11.5 11.7112 93.3444
11.6 11.8112 93.3649
11.7 11.9113 93.3852
11.8 12.0113 93.4052
11.9 12.1113 93.4251
12 12.2113 93.4447
12.1 12.3113 93.4641
12.2 12.4113 93.4833
12.3 12.5114 93.5023
12.4 12.6114 93.521
12.5 12.7114 93.5396
12.6 12.8114 93.558
12.7 12.9114 93.5762
12.8 13.0114 93.5943
12.9 13.1114 93.6121
13 13.2115 93.6298
13.1 13.3115 93.6473
13.2 13.4115 93.6646
13.3 13.5115 93.6818
13.4 13.6115 93.6988
13.5 13.7115 93.7157
13.6 13.8115 93.7324
13.7 13.9115 93.749
13.8 14.0116 93.7654
13.9 14.1116 93.7816
14 14.2116 93.7978
14.1 14.3116 93.8138
14.2 14.4116 93.8296
14.3 14.5116 93.8454
14.4 14.6116 93.861
14.5 14.7116 93.8764
14.6 14.8116 93.8918
14.7 14.9116 93.907
14.8 15.0117 93.9221
14.9 15.1117 93.9371
15 15.2117 93.952
15.1 15.3117 93.9668
15.2 15.4117 93.9814
15.3 15.5117 93.996
15.4 15.6117 94.0104
15.5 15.7117 94.0247
15.6 15.8117 94.039
15.7 15.9117 94.0531
15.8 16.0118 94.0672
15.9 16.1118 94.0811
16 16.2118 94.095
16.1 16.3118 94.1087
16.2 16.4118 94.1224
16.3 16.5118 94.136
16.4 16.6118 94.1495
16.5 16.7118 94.1629
16.6 16.8118 94.1762
16.7 16.9118 94.1894
16.8 17.0118 94.2026
16.9 17.1118 94.2157
17 17.2119 94.2287
17.1 17.3119 94.2416
17.2 17.4119 94.2544
17.3 17.5119 94.2672
17.4 17.6119 94.2799
17.5 17.7119 94.2925
17.6 17.8119 94.3051
17.7 17.9119 94.3175
17.8 18.0119 94.33
17.9 18.1119 94.3423
18 18.2119 94.3546
18.1 18.3119 94.3668
18.2 18.4119 94.3789
18.3 18.5119 94.391
18.4 18.612 94.4031
